division,familyName,speciesName,folderNo,JL].,description,Hetherset,Aug.,1767,Galium... [illegible
Dicotyledones,CARYOPHYLLACEAE,Cerastium arcticum Lange,2.0,,"Folder 1. Cerastium alpinum [G]. i. ""Anglesey. Cerastium alpinum. Q: an Var: aut nova species? Fig: Cerast: alp: non quadrat: Flor: Dan: The Fig: in the fl. Dan: of Cerast: alpinum agrees with this, only taller & more branched, bearing 6 flowers, capsulis oblongis. In the Fl. Lapponic: Lin: says this Plant commonly produced 1 or 2 flowers when wild"" [JL]. ii. ""Cerastium alpinum? Newfoundland. The Flor: Dan: agrees well with the tall one. I believe the others to be nothing but Varieties"" [JL]. [Only two specimens in folder; on left C. arcticum, probably the plant from Anglesey; on right C. arvense, maybe the specimen from Newfoundland collected by Joseph Banks.]",,,,
Dicotyledones,CARYOPHYLLACEAE,Cerastium arcticum Lange,2.0,,"Folder 2. Cerastium uniflorum [TA]; Cerastium alpinum? [G]. i. ""Cerastium latifolium? This was gathered on Mount Snowdon by the Sides of the Rivulets to the North of Wyddfa by the Revd Mr Williams. June & July"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Cerastium arvense L.,2.0,,"Folder 1. Cerastium arvense [TA]. i. ""Cerastium arvense. This must be right tho' the leaves are hoary"" [JL]. ii. ""Cerastium arvense. Very common in Norfolk. Why does Lin. put the word glabris in his Specific Description in opposition to truth & the Testimony of all Authors"" [B].",,,,
Dicotyledones,CARYOPHYLLACEAE,Cerastium arvense L.,2.0,,Folder 2. Cerastium arvense [G]. [See also under C. arcticum Folder 1.],,,,
Dicotyledones,CARYOPHYLLACEAE,"Cerastium fontanum Baumg., subsp. triviale (Link) Jalas, Flora Europaea 1: 142 (1964)",1.0,,"Cerastium vulgaris [TA]; C. vulgatum Huds. and C. viscosum Linn. [G]. i. ""Pray inform mewhether this be Cerastium vulgaris or Cerast: viscosum, & wch of the Figures in Vaillant: Paris: agrees with it, for Linnaeus & Haller seem to contradict each other. In meadows, June. Mr Banks's vulgaris"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Cucubalus baccifer L.,3.0,,"Folder 1. Cucubalus baccifer [G]. i. ""Bulstrode"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Cucubalus baccifer L.,3.0,,"Folder 2. Cucubalus baccifer [G]. i. ""Bulstrode"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Cucubalus baccifer L.,3.0,,"Sheet 1. Cucubalus baccifer [JL]. i. ""Cucubalus bacciferus calyicibus campanulatis, petalis distantibus, pericarpis coloratis, ramis divaricatis. Lin: Syst. Nat. Cucubalus Plinii. R. Syn: 267."" ii. ""Berry-bearing Chickweed. July & Aug. This plant was found growing spontaneously in the Isle of Man, by Dr. Richardson"" [JL]. [On loose label in pencil:] ""I. of Dogs"" [Riddelsdell].",,,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus armeria L.,1.0,,Dianthus armeria [TA],,,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus caryophyllus L.,1.0,,"Dianthus caryophyllus [TA]. i. ""Dianthus caryophyllus Lin: Ray Syn: p. 336. no. 3. on Rochester Castle Walls & c."" [JL]. ii. ""& single Clove mentioned in Ray on Rochester Walls"" [?]; ""?? is this not from a Garden"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus deltoides L.,2.0,,"Folder 1. Dianthus glaucus? [TA]. i. ""Dianthus glaucus pro certo. Kew. respondet. fig: Dillen:"" [JL]. ii. ""This Aiton [William Aiton] says is the Dianthus glaucus. White flowers with a purple Circle. Kew. compare it with Dianth: deltoides"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus deltoides L.,2.0,,"Folder 2. Dianthus deltoides [TA]. ""Dianthus Deltoides. Salt Hill"" [?].",,,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus gratianopolitanus Vill.,2.0,,"Folder 1. Dianthus arenarius Hud. [TA]. i. ""Cheddar brought into a Garden"" [JL]. ii. ""Dianthus arenarius the true. Sent by Mr. Banks to Bulstrode from Cheddar."" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Dianthus gratianopolitanus Vill.,2.0,,"Folder 2. Dianthus virginicus [TA]; Dianthus arenarius Huds. [G]. i. ""Dianth: arenar: Bulstrode. Q: an non idem Mr. Banks's"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Herniaria ciliolata Meld.,2.0,,"Folder 1. Herniaria glabra [TA]. i. Herniaria glabra. Cites Lin: Sp. Pl: Herniaria; Ray's Syn: 160. ii. ""Smooth Rupture-wort. This specimen was gathered from the Lizard Point in Cornwall & communicated by Mr. Hudson"" [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Herniaria ciliolata Meld.,2.0,,Folder 2. Herniaria glabra [G].,,,,
Dicotyledones,CARYOPHYLLACEAE,Herniaria hirsuta L.,2.0,,"Folder 1. Herniaria hirsuta [TA]. i. ""Hern: hirsuta according to Yalden"" [JL]. ii. ""Herniaria hirsuta. Gordon's Garden [?]; D. o. P: [possibly the Duchess of Portland] [JL].",,,,
Dicotyledones,CARYOPHYLLACEAE,Herniaria hirsuta L.,2.0,,Folder 2. Herniaria glabra [G].,,,,
