family,species,folder,contents
"Folder 2. Campanula hederacea [G]. i. ""Devon & Cornwall"" [JL]",Linnaea borealis L.,,
"Folder 2. Campanula hederacea [G]. i. ""Devon & Cornwall"" [JL]",Lonicera periclymenum L.,,
"Folder 2. Campanula hederacea [G]. i. ""Devon & Cornwall"" [JL]",Viburnum lantana L.,,
"Folder 2. Campanula hederacea [G]. i. ""Devon & Cornwall"" [JL]",Viburnum opulus L.,,
Caryophyllaceae,Arenaria serpyllifolia L.,,
Caryophyllaceae,"Bufonia tenuifolia L., Flora Europaea 1: 133 (1964)",,
Caryophyllaceae,Cerastium alpinum L.,,
Caryophyllaceae,Cerastium arvense L.,,
Caryophyllaceae,"Cerastium fontanum Baumg., subsp. triviale (Link) Jalas, Flora Europaea 1: 142 (1964)",,
